date;month;week;brand;country;route;shipto;tot_net;tot_brt;rate
2020.01.02;1;1;REN;AT;J;104000001;2535.76;3556.38;1.402490772
2020.01.02;1;1;REN;AT;Q;104000003;5120.26;7487.68;1.462363239
2020.01.02;1;1;REN;AT;Q;104000005;291.42;422.75;1.450655411
2020.01.02;1;1;REN;AT;Q;104000009;9546.71;11815.06;1.237605416
2020.01.02;1;1;REN;AT;R;104000011;452.96;729.29;1.610053868
2020.01.02;1;1;REN;AT;R;104000084;474.97;716.76;1.50906373
2020.01.02;1;1;REN;AT;J;104000085;119.99;219.09;1.825902159
2020.01.02;1;1;REN;AT;B;104000099;21679.05;29324.91;1.352684274
2020.01.02;1;1;REN;AT;R;104000101;4.31;86;19.95359629
2020.01.02;1;1;REN;AT;R;104000105;1050.18;1072.57;1.021320155
2020.01.02;1;1;REN;AT;J;104000138;1.15;86;74.7826087
2020.01.02;1;1;REN;AT;P;104000143;148;233.98;1.580945946
2020.01.02;1;1;REN;AT;P;104000155;156.23;401.35;2.568968828
2020.01.02;1;1;REN;AT;J;104000156;2261.67;3271.19;1.446360433
2020.01.02;1;1;REN;AT;J;104000157;20.51;95.12;4.637737689
2020.01.02;1;1;REN;AT;R;104000166;123.02;306.47;2.49122094
2020.01.02;1;1;REN;AT;R;104000167;759.22;759.32;1.000131714
2020.01.02;1;1;REN;AT;J;104000173;53.84;228.47;4.243499257
2020.01.02;1;1;REN;AT;J;104000175;785.13;862.76;1.098875345
2020.01.02;1;1;REN;AT;R;104007001;13.84;86;6.213872832
2020.01.02;1;1;REN;AT;Q;104007020;119.92;365.82;3.050533689
2020.01.02;1;1;REN;AT;P;104007039;4363.8;5400.32;1.237526926
2020.01.02;1;1;REN;AT;P;104007040;89.78;406;4.522165293
2020.01.02;1;1;REN;AT;P;104007041;47.87;131.11;2.738876123
2020.01.02;1;1;REN;AT;Q;104007045;29.9;306.47;10.24983278
2020.01.02;1;1;REN;AT;J;104007067;13.56;96.56;7.120943953
2020.01.02;1;1;REN;AT;R;104010011;17.27;132.8;7.689635206
2020.01.02;1;1;REN;AT;R;104010014;749.76;765.14;1.020513231
2020.01.02;1;1;REN;AT;J;104010017;783.46;1787.08;2.281009879
2020.01.02;1;1;REN;AT;J;104010034;211.94;281.2;1.326790601
2020.01.02;1;1;REN;AT;Q;104010053;342.56;622.01;1.8157695
2020.01.02;1;1;REN;AT;Q;104010055;20.49;64.44;3.144948755
2020.01.02;1;1;REN;AT;J;104010061;487.39;581.04;1.19214592
2020.01.02;1;1;REN;AT;R;104010063;603.88;706.37;1.169719149
2020.01.02;1;1;REN;AT;P;104010069;1433.67;1829.87;1.276353694
2020.01.02;1;1;REN;AT;P;104010072;1396.71;2634.47;1.886196848
2020.01.02;1;1;REN;AT;J;104010074;5096.07;6153.51;1.207501074
2020.01.02;1;1;REN;AT;J;104010076;0.23;8;34.7826087
2020.01.02;1;1;REN;AT;Q;104010088;215.43;254.01;1.179083693
2020.01.02;1;1;REN;AT;Q;104010090;52.63;306.47;5.823104693
2020.01.02;1;1;REN;AT;B;104010096;289.39;2935.32;10.14312865
2020.01.02;1;1;REN;AT;R;104010099;149.78;392.47;2.620309788
2020.01.02;1;1;REN;AT;J;104010101;1009.2;1959.36;1.941498216
2020.01.02;1;1;REN;AT;R;104010102;28.74;306.47;10.66353514
2020.01.02;1;1;REN;AT;J;104010106;195.53;340.05;1.739119317
2020.01.02;1;1;REN;AT;Q;104020010;1112.77;1174.17;1.05517762
2020.01.02;1;1;REN;AT;Q;104020042;5.22;51;9.770114943
2020.01.02;1;1;REN;AT;Q;104020082;1105.12;1274.84;1.153576082
2020.01.02;1;1;REN;AT;Q;104020179;74.22;131.8;1.775801671
2020.01.02;1;1;REN;AT;J;104020185;136;136.1;1.000735294
2020.01.02;1;1;REN;AT;Q;104020208;270.77;456.47;1.685821915
2020.01.02;1;1;REN;CZ;N;120318032;5638.83;7386;1.309846191
2020.01.02;1;1;REN;CZ;N;120318039;495.41;748.34;1.51054682
2020.01.02;1;1;REN;CZ;N;120318041;477.6;575.28;1.204522613
2020.01.02;1;1;REN;CZ;N;120318044;2930.81;3639.08;1.241663567
2020.01.02;1;1;REN;CZ;N;120318058;34.91;116.56;3.338871384
2020.01.02;1;1;REN;CZ;N;120318060;315.76;469.84;1.487965543
2020.01.02;1;1;REN;CZ;N;120318061;1.31;86;65.64885496
2020.01.02;1;1;REN;CZ;N;120318069;1081.99;3349.35;3.09554617
2020.01.02;1;1;REN;CZ;N;120318079;2601.53;3348.96;1.28730401
2020.01.02;1;1;REN;CZ;N;120318082;30.4;30.4;1
