date,hour,lines,free_hours,wrk_hours,income,expns,accidents,weather,marketshre_chng
2010-01-01,00:00:00,0,0,0,0,11.25,0,sunny,0.88
2010-01-01,01:00:00,0,0,0,0,11.25,0,sunny,-0.46
2010-01-01,02:00:00,0,0,0,0,11.25,1,cloudy,0.88
2010-01-01,03:00:00,0,0,0,0,11.25,0,sunny,0.14
2010-01-01,04:00:00,0,0,0,0,11.25,0,sunny,0.08
2010-01-01,05:00:00,0,0,0,0,11.25,1,sunny,-0.4
2010-01-01,06:00:00,0,0,0,0,11.25,0,sunny,0.33
2010-01-01,07:00:00,122,80,0,0,11.25,0,sunny,-0.44
2010-01-01,08:00:00,473,64,16,120,194.45,1,cloudy,-0.26
2010-01-01,09:00:00,305,61,19,126.8,228.8,0,cloudy,0.71
2010-01-01,10:00:00,88,72,8,164.8,102.85,0,cloudy,0.67
2010-01-01,11:00:00,281,57,23,24.7,274.6,0,cloudy,-0.02
2010-01-01,12:00:00,214,79,1,90.6,22.7,0,sunny,0.46
2010-01-01,13:00:00,91,58,22,157.4,263.15,0,sunny,-0.04
2010-01-01,14:00:00,457,75,5,178.4,68.5,0,cloudy,-0.97
2010-01-01,15:00:00,381,76,4,111.3,57.05,0,sunny,-0.31
2010-01-01,16:00:00,87,70,10,45.6,125.75,0,cloudy,0.72
2010-01-01,17:00:00,247,58,22,58.8,263.15,0,cloudy,0.79
2010-01-01,18:00:00,236,65,15,155,183,0,sunny,-0.23
2010-01-01,19:00:00,464,63,17,105.4,205.9,0,sunny,-0.42
2010-01-01,20:00:00,0,0,0,0,11.25,0,sunny,0.28
2010-01-01,21:00:00,0,0,0,0,11.25,1,sunny,-0.21
2010-01-01,22:00:00,0,0,0,0,11.25,0,sunny,0.27
2010-01-01,23:00:00,0,0,0,0,11.25,0,sunny,0.8
2010-01-02,00:00:00,0,0,0,0,11.25,0,sunny,-0.22
2010-01-02,01:00:00,0,0,0,0,11.25,0,sunny,-0.48
2010-01-02,02:00:00,0,0,0,0,11.25,0,sunny,-0.82
2010-01-02,03:00:00,0,0,0,0,11.25,0,sunny,-0.29
2010-01-02,04:00:00,0,0,0,0,11.25,1,cloudy,0.13
2010-01-02,05:00:00,0,0,0,0,11.25,0,sunny,-0.63
2010-01-02,06:00:00,0,0,0,0,11.25,0,sunny,-0.05
2010-01-02,07:00:00,17,79,1,138.9,22.7,0,sunny,0.84
2010-01-02,08:00:00,27,73,7,46.1,91.4,0,sunny,0.92
2010-01-02,09:00:00,54,52,28,28.5,331.85,0,sunny,0.51
2010-01-02,10:00:00,37,61,19,112.8,228.8,0,sunny,0.04
2010-01-02,11:00:00,284,77,3,141.8,45.6,0,cloudy,0.56
2010-01-02,12:00:00,259,72,8,122.4,102.85,0,sunny,0.98
2010-01-02,13:00:00,440,51,29,148.3,343.3,0,sunny,0.49
2010-01-02,14:00:00,477,51,29,140.2,343.3,0,sunny,0.47
2010-01-02,15:00:00,132,62,18,176.6,217.35,0,sunny,-0.4
2010-01-02,16:00:00,30,57,23,48,274.6,0,sunny,-0.96
2010-01-02,17:00:00,477,80,0,0,11.25,0,sunny,-0.5
2010-01-02,18:00:00,337,56,24,148,286.05,0,sunny,-0.17
2010-01-02,19:00:00,284,72,8,65.9,102.85,0,sunny,-0.07
2010-01-02,20:00:00,0,0,0,0,11.25,0,cloudy,0.33
2010-01-02,21:00:00,0,0,0,0,11.25,0,cloudy,-0.89
2010-01-02,22:00:00,0,0,0,0,11.25,0,sunny,0.1
2010-01-02,23:00:00,0,0,0,0,11.25,0,cloudy,-0.19
2010-01-03,00:00:00,0,0,0,0,11.25,0,sunny,0.61
2010-01-03,01:00:00,0,0,0,0,11.25,0,sunny,0.79
2010-01-03,02:00:00,0,0,0,0,11.25,0,cloudy,0.11
2010-01-03,03:00:00,0,0,0,0,11.25,0,sunny,0.1
2010-01-03,04:00:00,0,0,0,0,11.25,0,sunny,0.3
2010-01-03,05:00:00,0,0,0,0,11.25,0,sunny,0.03
2010-01-03,06:00:00,0,0,0,0,11.25,0,cloudy,-0.3
2010-01-03,07:00:00,391,55,25,106.7,297.5,0,sunny,-0.41
2010-01-03,08:00:00,83,80,0,0,11.25,0,sunny,-0.27
2010-01-03,09:00:00,453,53,27,136.7,320.4,0,sunny,0.7
2010-01-03,10:00:00,415,56,24,188.1,286.05,0,cloudy,0.2
2010-01-03,11:00:00,412,75,5,147,68.5,0,sunny,-0.08
2010-01-03,12:00:00,36,76,4,103.6,57.05,0,cloudy,-0.58
2010-01-03,13:00:00,52,58,22,164.6,263.15,1,sunny,-0.75
2010-01-03,14:00:00,216,74,6,43.6,79.95,0,sunny,0.61
2010-01-03,15:00:00,345,52,28,119.2,331.85,1,sunny,-0.39
2010-01-03,16:00:00,100,74,6,27.8,79.95,0,cloudy,0.8
2010-01-03,17:00:00,192,65,15,30.7,183,0,sunny,-0.3
2010-01-03,18:00:00,496,64,16,130.4,194.45,0,sunny,0.05
2010-01-03,19:00:00,350,54,26,66.2,308.95,0,sunny,0.11
2010-01-03,20:00:00,0,0,0,0,11.25,1,cloudy,0.98
2010-01-03,21:00:00,0,0,0,0,11.25,0,sunny,0.97
2010-01-03,22:00:00,0,0,0,0,11.25,0,sunny,-0.2
2010-01-03,23:00:00,0,0,0,0,11.25,0,cloudy,0.68
2010-01-04,00:00:00,0,0,0,0,11.25,0,sunny,0.29
2010-01-04,01:00:00,0,0,0,0,11.25,0,sunny,-0.42
2010-01-04,02:00:00,0,0,0,0,11.25,0,cloudy,-0.77
2010-01-04,03:00:00,0,0,0,0,11.25,0,sunny,-0.58
2010-01-04,04:00:00,0,0,0,0,11.25,0,cloudy,0.3
2010-01-04,05:00:00,0,0,0,0,11.25,0,sunny,-0.74
2010-01-04,06:00:00,0,0,0,0,11.25,1,sunny,0.31
2010-01-04,07:00:00,228,72,8,141.4,102.85,1,sunny,-0.47
2010-01-04,08:00:00,271,60,20,122.3,240.25,0,cloudy,-0.78
2010-01-04,09:00:00,34,71,9,32.6,114.3,0,sunny,0.28
2010-01-04,10:00:00,333,51,29,22.3,343.3,0,cloudy,0.04
2010-01-04,11:00:00,481,78,2,20,34.15,0,sunny,0.66
2010-01-04,12:00:00,350,59,21,112.1,251.7,0,sunny,-0.12
2010-01-04,13:00:00,269,57,23,159.2,274.6,0,sunny,0.05
2010-01-04,14:00:00,105,74,6,176.2,79.95,0,sunny,-0.35
2010-01-04,15:00:00,83,57,23,73.2,274.6,0,sunny,-0.67
2010-01-04,16:00:00,374,52,28,137.5,331.85,0,cloudy,-0.75
2010-01-04,17:00:00,328,66,14,112.8,171.55,1,cloudy,0.98
2010-01-04,18:00:00,317,80,0,0,11.25,0,cloudy,0.66
2010-01-04,19:00:00,300,60,20,21.2,240.25,0,sunny,-0.83
2010-01-04,20:00:00,209,68,12,186.8,148.65,0,sunny,0.09
2010-01-04,21:00:00,0,0,0,0,11.25,1,sunny,-0.03
2010-01-04,22:00:00,0,0,0,0,11.25,0,sunny,-0.49
2010-01-04,23:00:00,0,0,0,0,11.25,0,cloudy,-0.03
2010-01-05,00:00:00,0,0,0,0,11.25,0,sunny,-0.23
2010-01-05,01:00:00,0,0,0,0,11.25,0,cloudy,0.68
2010-01-05,02:00:00,0,0,0,0,11.25,1,cloudy,-0.2
2010-01-05,03:00:00,0,0,0,0,11.25,0,sunny,0.32
2010-01-05,04:00:00,0,0,0,0,11.25,0,cloudy,0.23
2010-01-05,05:00:00,0,0,0,0,11.25,0,sunny,0.2
2010-01-05,06:00:00,0,0,0,0,11.25,0,sunny,0.48
2010-01-05,07:00:00,199,61,19,24.1,228.8,0,sunny,-0.22
2010-01-05,08:00:00,379,78,2,171,34.15,0,cloudy,-0.89
2010-01-05,09:00:00,323,66,14,140.8,171.55,0,sunny,-0.46
2010-01-05,10:00:00,288,59,21,163.8,251.7,0,sunny,0.3
2010-01-05,11:00:00,41,60,20,20.4,240.25,1,sunny,0.02
2010-01-05,12:00:00,449,67,13,185,160.1,1,cloudy,-0.66
2010-01-05,13:00:00,231,50,30,85.8,354.75,0,cloudy,0.89
2010-01-05,14:00:00,363,74,6,96.4,79.95,0,cloudy,0.54
2010-01-05,15:00:00,115,77,3,47.4,45.6,0,sunny,-0.47
2010-01-05,16:00:00,294,67,13,34.6,160.1,0,cloudy,0.25
2010-01-05,17:00:00,265,52,28,177.1,331.85,0,sunny,-0.61
2010-01-05,18:00:00,243,73,7,63.6,91.4,0,cloudy,-0.41
2010-01-05,19:00:00,278,72,8,183.2,102.85,0,sunny,0.35
2010-01-05,20:00:00,0,0,0,0,11.25,0,sunny,0.03
2010-01-05,21:00:00,0,0,0,0,11.25,0,cloudy,0.22
2010-01-05,22:00:00,0,0,0,0,11.25,1,sunny,-0.81
2010-01-05,23:00:00,0,0,0,0,11.25,0,sunny,0.21
2010-01-06,00:00:00,0,0,0,0,11.25,0,sunny,-0.84
2010-01-06,01:00:00,0,0,0,0,11.25,0,sunny,0.47
2010-01-06,02:00:00,0,0,0,0,11.25,0,sunny,-0.91
2010-01-06,03:00:00,0,0,0,0,11.25,0,sunny,0.9
2010-01-06,04:00:00,0,0,0,0,11.25,0,cloudy,0.87
2010-01-06,05:00:00,0,0,0,0,11.25,1,sunny,0.96
2010-01-06,06:00:00,455,51,29,137.7,343.3,0,sunny,-0.98
2010-01-06,07:00:00,435,69,11,70.2,137.2,0,sunny,-0.63
